Algorithm,test_rmse,fit_time,test_time
SVDpp,0.889702635,66334.63097,1030.789129
KNNBaseline,0.900499252,3.202604532,11.0344425
SVD,0.914175572,108.3797113,7.061883847
KNNWithZScore,0.921539862,1.009805918,10.43564709
KNNWithMeans,0.922375454,0.452355385,9.701638699
KNNBasic,0.930672826,0.265041987,9.23843503
CoClustering,0.954888807,105.2967224,5.153129101
NMF,0.999277288,207.2704608,6.648368041
BaselineOnly,1.021063812,2.876337687,5.049590031
NormalPredictor,1.464013042,1.901449124,6.928076506
